Unnamed: 0,Age,Sex,Job,Housing,Credit_amount,Duration,Purpose,Risk,Age_Group,Risk_int
0,67,male,2,own,1169,6,radio/TV,good,Elder,1
1,22,female,2,own,5951,48,radio/TV,bad,Young,0
2,49,male,1,own,2096,12,education,good,Senior,1
3,45,male,2,free,7882,42,furniture/equipment,good,Senior,1
4,53,male,2,free,4870,24,car,bad,Senior,0
5,35,male,1,free,9055,36,education,good,Young Adults,1
6,53,male,2,own,2835,24,furniture/equipment,good,Senior,1
7,35,male,3,rent,6948,36,car,good,Young Adults,1
8,61,male,1,own,3059,12,radio/TV,good,Elder,1
9,28,male,3,own,5234,30,car,bad,Young,0
10,25,female,2,rent,1295,12,car,bad,Young,0
11,24,female,2,rent,4308,48,business,bad,Young,0
12,22,female,2,own,1567,12,radio/TV,good,Young,1
13,60,male,1,own,1199,24,car,bad,Elder,0
14,28,female,2,rent,1403,15,car,good,Young,1
15,32,female,1,own,1282,24,radio/TV,bad,Young Adults,0
16,53,male,2,own,2424,24,radio/TV,good,Senior,1
17,25,male,2,own,8072,30,business,good,Young,1
18,44,female,3,free,12579,24,car,bad,Senior,0
19,31,male,2,own,3430,24,radio/TV,good,Young Adults,1
20,48,male,2,own,2134,9,car,good,Senior,1
21,44,male,2,rent,2647,6,radio/TV,good,Senior,1
22,48,male,1,rent,2241,10,car,good,Senior,1
23,44,male,2,own,1804,12,car,good,Senior,1
24,26,male,2,own,2069,10,furniture/equipment,good,Young,1
25,36,male,1,own,1374,6,furniture/equipment,good,Young Adults,1
26,39,male,1,own,426,6,radio/TV,good,Young Adults,1
27,42,female,2,rent,409,12,radio/TV,good,Senior,1
28,34,male,2,own,2415,7,radio/TV,good,Young Adults,1
29,63,male,2,own,6836,60,business,bad,Elder,0
30,36,male,2,own,1913,18,business,good,Young Adults,1
31,27,male,2,own,4020,24,furniture/equipment,good,Young,1
32,30,male,2,own,5866,18,car,good,Young Adults,1
33,57,male,1,rent,1264,12,business,good,Elder,1
34,33,female,3,own,1474,12,furniture/equipment,good,Young Adults,1
35,25,male,1,own,4746,45,radio/TV,bad,Young,0
36,31,male,2,free,6110,48,education,good,Young Adults,1
37,37,male,2,own,2100,18,radio/TV,bad,Young Adults,0
38,37,male,2,own,1225,10,domestic appliances,good,Young Adults,1
39,24,male,2,own,458,9,radio/TV,good,Young,1
40,30,male,3,own,2333,30,radio/TV,good,Young Adults,1
41,26,male,2,own,1158,12,radio/TV,good,Young,1
42,44,male,1,own,6204,18,repairs,good,Senior,1
43,24,male,2,rent,6187,30,car,good,Young,1
44,58,female,1,free,6143,48,car,bad,Elder,0
45,35,female,3,own,1393,11,car,good,Young Adults,1
46,39,male,2,own,2299,36,radio/TV,good,Young Adults,1
47,23,female,0,rent,1352,6,car,good,Young,1
48,39,male,1,own,7228,11,car,good,Young Adults,1
49,28,female,2,own,2073,12,radio/TV,good,Young,1
50,29,male,1,own,2333,24,furniture/equipment,good,Young,1
51,30,male,3,own,5965,27,car,good,Young Adults,1
52,25,male,2,own,1262,12,radio/TV,good,Young,1
53,31,male,2,own,3378,18,car,good,Young Adults,1
54,57,male,2,free,2225,36,car,bad,Elder,0
55,26,male,1,own,783,6,car,good,Young,1
56,52,male,3,own,6468,12,radio/TV,bad,Senior,0
57,31,female,2,own,9566,36,radio/TV,good,Young Adults,1
58,23,female,3,own,1961,18,car,good,Young,1
59,23,female,1,rent,6229,36,furniture/equipment,bad,Young,0
60,27,male,2,own,1391,9,business,good,Young,1
61,50,male,2,own,1537,15,radio/TV,good,Senior,1
62,61,male,3,free,1953,36,business,bad,Elder,0
63,25,male,2,own,14421,48,business,bad,Young,0
64,26,female,2,own,3181,24,radio/TV,good,Young,1
65,48,male,2,own,5190,27,repairs,good,Senior,1
66,29,female,2,own,2171,12,radio/TV,good,Young,1
67,22,male,2,own,1007,12,car,good,Young,1
68,37,male,2,free,1819,36,education,bad,Young Adults,0
69,25,female,2,own,2394,36,radio/TV,good,Young,1
70,30,female,2,own,8133,36,car,good,Young Adults,1
71,46,male,1,rent,730,7,radio/TV,good,Senior,1
72,51,male,3,free,1164,8,vacation/others,good,Senior,1
73,41,female,1,own,5954,42,business,good,Senior,1
74,40,male,3,own,1977,36,education,bad,Young Adults,0
75,66,male,3,free,1526,12,car,good,Elder,1
76,34,male,2,own,3965,42,radio/TV,bad,Young Adults,0
77,51,male,2,own,4771,11,radio/TV,good,Senior,1
78,39,male,1,own,9436,54,car,good,Young Adults,1
79,22,male,2,own,3832,30,furniture/equipment,good,Young,1
80,44,female,2,own,5943,24,radio/TV,bad,Senior,0
81,47,male,2,own,1213,15,radio/TV,good,Senior,1
82,24,female,1,rent,1568,18,business,good,Young,1
83,58,female,1,own,1755,24,vacation/others,good,Elder,1
84,52,male,1,own,2315,10,radio/TV,good,Senior,1
85,29,female,3,own,1412,12,business,good,Young,1
86,27,female,2,own,1295,18,furniture/equipment,good,Young,1
87,47,male,2,free,12612,36,education,bad,Senior,0
88,30,male,3,own,2249,18,car,good,Young Adults,1
89,28,male,2,own,1108,12,repairs,bad,Young,0
90,56,male,2,own,618,12,radio/TV,good,Elder,1
91,54,male,2,own,1409,12,car,good,Senior,1
92,33,female,1,own,797,12,radio/TV,bad,Young Adults,0
93,20,male,2,rent,3617,24,furniture/equipment,good,Young,1
